Essai;Pitch;Formant 1;Formant 2
1;112.5;416.9;1252.3
2;95.4;449.2;1381
3;105.4;447.6;1270.1
4;101.5;437.9;1332.1
5;106.6;516;1308.2
6;105.5;454.6;2394.6
7;105.6;531;2297.8
8;103.8;419.9;2435.2
