Essai;Pitch;Formant 1;Formant 2
1;106.9;261.9;1977.5
2;114.2;281.8;1916.5
3;110.8;281.2;1907.2
4;107.8;249.4;1874.3
5;110.6;254.1;1847
6;105.8;283.9;1977.9
7;112.9;252.1;1907.6
8;106.2;243.3;2014.4
