Essai;Pitch;Formant 1;Formant 2
1;107.8;305.2;1506.2
2;107.9;246.6;1823.9
3;105.2;250.5;1856.2
4;110.1;255.3;1773.8
5;103.3;239.9;1794.3
6;101.8;284.8;1890
7;104.8;259.4;1724.8
8;102.9;247.6;1720.8
