Essai;Pitch;Formant 1;Formant 2
1;89.8;449.7;1379.4
2;101.1;440.7;1377.9
3;69.1;454.9;1423.2
4;98.4;432.5;1349
5;91.1;466;1321.1
6;99.1;478.9;1368.6
7;87.6;476.3;1312.4
8;89.1;459.6;1260.8
9;;;
